appellation,oeil,nez,bouche,mets_et_vin
Pouilly-vinzelles,": D'un ton or vert, la robe attire l'œil.","Le pouilly-vinzelles présente des notes minérales caractéristiques.S'y mêlent des arômes de noisette et d'amande, d'agrumes, de pêche, de tilleul, de brioche. Des accents de pivoine, de poire et d'abricot, de coing, de pomme au four ou de cire sont parfois perceptibles.",Finesse et distinction définissent la bouche grâce à un équilibre réussi entre moelleux et acidité. Le gras domine en finale. Leclimat Les Quarts a su se faire un nom au sein de l'appellation.,"Poisson (turbot sauce mousseline, filets de sole au beurre citronné, saumon au vin blanc), poulet ou lapin à la crème, tartifl ette au reblochon."
Saint-véran,": Le saint-véran est un vin cristallin, or pâle. Des reflets verts animent sa robe. Un élevage sous bois se traduit par une teinte bouton d'or.","Les arômes de fruits (pêche, poire) se mêlent à l'acacia, à la fougère, au chèvrefeuille. Les notes d'amande fraîche, de noisette et de beurre sont également fréquentes, tandis que le miel, les fruits exotiques et les agrumes (écorce d'orange) ne se distinguent que dans les vins les plus mûrs.","Le saint-véran est un vin sec et rond, souvent minéral (la pierre à feu, le silex glorieux des environs de Solutré). Il a de la flamme, de l'ardeur en bouche. Le gras et l'acidité s'équilibrent. Une sensation muscatée s'exprime parfois en finale.","Huîtres gratinées, andouillette au vin blanc, blanquette de veau, fricassée de veau aux girolles, fromages de chèvre (saint-marcellin, bouton de culotte, crottin)."
Viré-clessé,": La brillance de l'or pâle illumine la robe du viré-clessé. Ni or blanc ni or jaune, mais or cendré. Des reflets légèrement verts animent souvent le vin.","Les arômes évoquent la fleur d'aubépine et l'acacia, le chèvrefeuille ou encore le genêt. Il s'y ajoute la citronnelle, la pêche blanche et des notes mentholées. La verveine, la fougère, l'amande complètent la palette. Le pin, la confiture de coings peuvent se manifester.",Ce vin vif et frais est pourtant plein de rondeur et de charme. Le chardonnay s'épanouit ici de façon particulièrement heureuse.,"Cuisses de grenouilles, escargots, andouillette au vin blanc, jambon persillé, volaille de bresse à la crème, fromages de chèvre."
Bourgogne,": Jeune, le bourgogne rouge est pourpre?; plus âgé, il se pare d'un rubis plus profond qui va jusqu'à la cerise intense, la violine. En général, la robe est égayée de reflets brillants, bien vifs. La couleur classique est d'un rouge franc, un peu foncé.Le rosé est rose bonbon assez intense.Pour les blancs, une couleur limpide et cristalline, d'un léger jaune doré à reflets verts.","Le bourgogne rouge s'ouvre souvent sur une corbeille de fruits rouges et noirs (fraise, framboise, groseille, cerise d'un côté, mûre myrtille et cassis de l'autre), mais peut évoluer sur le fruit cuit (pruneau) et même le fruit confit. Les nuances épicées (poivrées) et réglissées ne sont pas rares, de même que celles évoquant l'animal, la mousse, le sous-bois, le champignon et, avec l'âge, le cuir.Les rosés rappellent la fraise des bois, la groseille et les fruits exotiques.Les arômes du bourgogne blanc sont ceux du chardonnay fleurs blanches, aubépine, citronnelle et fougère, champignon (mousseron, rosé-des-prés), amande et noisette, épices, beurre, toast pas trop grillé, miel parfois.","Un bon bourgogne rouge est un vin vivant, structuré et plein de passion. Il est souple et rond. Les tanins et le fruit doivent tenir longtemps un dialogue. Après quatre ou cinq ans de garde, le vin révèle du volume, de la chair?; il est vineux et présente un honnête potentiel de garde, sans aller au-delà des huit à dix ans. Néanmoins, un bourgogne peut être radieux quinze ans plus tard.Les rosés sont vifs et fruités.Les blancs sont amples sans être pesants, fins sans être légers, aromatiques et fruités, peu charpentés, mais présentant une bonne persistance quand la bouteille est de qualité.","Viande rouge (pavé de charolais, entrecôte forestière), canard au poivre vert, gibier, andouillette, fromages (époisses, soumaintrain, camembert). salade tiède de rougets. tourte chaude, poisson fin, crustacés, volaille et viande blanche."
Coteaux bourguignons,: Les vins rouges affichent une robe pourpre aux reflets violets.Les vins rosés s'habillent d'un rose franc et vif.Les blancs montrent une robe or pâle et limpide.,"Les vins rouges offrent des senteurs fraîches de fruits rouges (fraise, cerise, framboise) et noirs (cassis, mûre).Les vins rosés exhalent des parfums de petits fruits rouges et de bonbon.Les vins blancs se partagent entre les fleurs blanches et les agrumes.","Les vins rouges présentent des caractères divers selon les sols et les cépages d'où ils sont issus. Ceux à base de gamay montrent une bouche souple et fruitée, aux tanins fins. Le pinot noir apporte richesse, complexité, corps et finesse de la structure.Les vins rosés sont frais et fruités.Les vins blancs varient également en fonction de l'assemblage. La bouche sera fraîche, marquée par les agrumes en présence du chardonnay?; l'aligoté apporte de la vivacité?; des cépages plus rares tels que le sacy apporteront des notes plus originales.","Charcuterie, fromage de tête persillé, volaille, oeufs en meurette. légumes farcis, tourte aux légumes, grillades. crustacés, poissons grillés, viandes blanches, fromages à pâte pressée."
Bourgogne-aligoté,": Généralement or pâle, minéral, la robe peut être aussi de couleur paille.","Profond, l'aligoté exprime un bouquet floral (acacia, aubépine), puis fruité (pomme). Le terroir influe sur la palette les aligotés de Pernand ont un nez fruité, ceux de Saint-Bris, dans l'Yonne, laissent apparaître des notes de sureau.","Un vin tendre, coulant, élégant et léger, qui a du caractère. La bouche est marquée par des notes citronnées. L'acidité se déclare en finale.","Apéritif avec des gougères, escargots à la bourguignonne, terrine, crustacés, poisson frit, fromages de chèvre, comté."
Bourgogne-passetoutgrain,": En rouge, une robe bien pourpre, qui ne lésine pas sur la couleur.","Parfumé de fruits rouges (cassis, framboise, groseille), le bourgogne-passetout­grain laisse apparaître ensuite des notes animales.","Très gamay, le passetoutgrain possède un goût de terroir. Les fruits explosent en bouche. Un vin harmonieux, agréable, sur le gras et le fruit. Les meilleurs comportent davantage de pinot noir ils sont plus fins mais doivent aussi être consommés jeunes.","Terrine, viande rouge, gibier à plume, fromages
(cîteaux). fruits de mer, avocat au crabe, tourte bourguignonne, poisson, fromages (de bresse, roquefort)."
Bourgogne-hautes-côtes-de-nuits,": En rouge, une robe pourpre ou rubis sombre, tirant souvent sur le framboisé. Les reflets bleutés ne sont pas rares.En blanc, un vin doré sans excès. De l'or blanc à l'or pâle, quelquefois un peu paille.Un rose franc habille les vins rosés.","Le pinot noir s'exprime sur des tonalités de cerise et de réglisse, de violette parfois. Après quelques années, les arômes évoluent sur des accents plus mûrs de fruit confit, des notes fauves (animal, cuir, sous-bois, humus, mousse).Le chardonnay offre un bouquet de fleurs blanches (aubépine, chèvrefeuille), où se mêlent la pomme de reinette, le citron, l'ortie blanche, la noisette, quelquefois le pain grillé, la cire d'abeille.Le rosé est tout de petits fruits.","Structuré, le rouge bénéficie d'une bonne acidité et de tanins présents et agréables en bouche.Il a du corps, sans excès de zèle.La complexité, le gras, la bonne charpente permettent aux blancs de tenir parfaitement leur place à table.La fraîcheur s'allie à une certaine rondeur dans les rosés.","Terrine, viande rouge, gibier à plume, fromages (cîteaux). fruits de mer, avocat au crabe, tourte bourguignonne, poisson, fromages (de bresse, roquefort)."
Bourgogne-hautes-côtes-de-beaune,": En rouge, la robe est d'une couleur sombre et violacée.En blanc, la teinte est paille léger, doré discret avec parfois des reflets verts.","Le vin rouge est marqué dans sa jeunesse par les fruits rouges (framboise, griotte). Avec les années, le fruit devient confit.Le bouquet tire alors vers l'animal, le sous-bois, et comporte fréquemment une touche épicée (poivre).En blanc arômes de fleurs blanches (aubépine) et de fougère. La noisette, le grillé ? Le beurre, le miel ? Cela se produit parfois.","Le rouge, corsé et généreux, assez rond, plaide pour son terroir. Une certaine nervosité n'est pas rare dans sa jeunesse, puis les tanins se fondent et l'équilibre s'établit. Le blanc chardonne volontiers. Il garde la fraîcheur du chardonnay sans devenir moelleux. Il ne cède pas à la vivacité, tout en gardant son équilibre.","Oeufs en meurette, petit salé aux lentilles, agneau, volaille, fromages (brillat-savarin, cîteaux). escargots, poisson poché ou en sauce, viande blanche, fromages (bleu de bresse)."
Crémant-de-bourgogne,: La robe du crémant-de-bourgogne blanc se pare d'une teinte jaune paille ou or parcourue d'un collier de fines bulles persistantes.Le crémant-de-bourgogne rosé est habillé d'une robe rose pâle aux reflets saumonés.,"Le nez des crémant-de-bourgogne blancs de blancs ou à forte teneur en cépages blancs associe les agrumes et les fleurs blanches à des notes minérales ; on peut aussi y trouver des parfums de fruits jaunes, des notes briochées et grillées ; à l'instar des rosés, le nez des blancs de noirs est souvent marqué par les senteurs de petits fruits rouges.","Le caractère du crémant-de-bourgogne varie en fonction de l'assemblage. Les blancs de blancs offrent une bouche fraîche, vive et légère alors que les blancs de noirs ou à majorité de cépages noirs développent de la puissance et de la persistance. Les rosés se distinguent par leur palais délicat et fruité.","Les crémant-de-bourgogne rosés s'accorderont avec un apéritif, ou des desserts à base de fruits rouges. les crémant-de-bourgogne blancs se boiront à l'apéritif, avec des produits de la mer (crustacés, coquillages, poissons), ou une volaille."
